doc_id,trade_id,trade_focus,outlet,pub_date,url,text
D01,T06,James Harden,Fear The Sword,2026-06-26,https://www.fearthesword.com/nba-reacts/50907/cavaliers-reacts-survey-james-harden-darius-garland-cleveland-cavs,"Fan survey grades for the Harden trade dropped sharply from an A in February to a consensus C after the playoffs. Opinions soured because the win-now move helped the Cavs advance further than before but failed to fix the roster's core problems, ending in a lopsided series loss to the Knicks."
D02,T06,James Harden,SI / Cavaliers On SI,2026-03-04,https://www.si.com/nba/cavaliers/onsi/news/grading-cleveland-cavaliers-james-harden-trade-one-month-later-01kjtyaenax4,"One month after the blockbuster, the trade grade slipped from B to C. The main expected advantage, Harden being more available than the injured Garland, was undercut when Garland returned quickly while Harden missed time with a thumb fracture. His elite scoring was praised when healthy, but he controls his future on an expiring deal, so the Cavs must win now."
D03,T06,James Harden,King James Gospel,2026-04-27,https://kingjamesgospel.com/cavaliers-regret-for-james-harden-trade-growing-by-leaps-bounds,"Harshly negative fan-site column arguing the deadline gamble looks like a growing mistake that could doom the era. It highlights Harden's playoff struggles against Toronto, including heavy turnover totals across two games, and warns that handing him a big-money contract in the summer would deepen the regret."
D04,T06,James Harden,Fear The Sword,2026-06-20,https://www.fearthesword.com/cavs-game-previews/50684/cavaliers-reacts-survey-darius-garland-james-harden-trade,"More balanced retrospective: the trade instantly energized a lifeless offense and produced the franchise's deepest playoff run with this core, with Harden stabilizing minutes and involving the bigs. But the offense grew iso-heavy, turnovers piled up, defenses targeted him, and a stronger Eastern Conference next season may mean this run was the peak."
D05,T10,Anthony Davis,Bleacher Report,2026-06-25,https://bleacherreport.com/articles/25445333-anthony-davis-trade-rumors-addressed-wizards-gm-after-trae-young-contract-2026-nba-draft,"Wizards GM Will Dawkins publicly committed to Davis after the draft, saying both sides want the partnership and an extension conversation is planned for August. Davis has one guaranteed year left at 58.5 million dollars, and his recent injury history keeps some uncertainty around the trade's long-term payoff."
D06,T10,Anthony Davis,ESPN,2026-07-09,https://www.espn.com/nba/story/_/id/49230637/source-wizards-intent-shunning-trade-offers-anthony-davis,"Washington is refusing to listen to trade offers for Davis, whom the front office views alongside Trae Young as a pillar of the rebuild, even amid reported Warriors interest connected to a possible LeBron James pursuit. The tone around the trade in Washington is optimistic and committed."
D07,T10,Anthony Davis,Yardbarker / EssentiallySports,2026-06-23,https://www.yardbarker.com/nba/articles/trae_young_commits_to_wizards_for_212_million_but_latest_trade_rumor_clouds_anthony_davis_future/s1_17730_43984430,"Analysis of the salary-cap pressure created by pairing two max-level veterans: Young's new deal plus Davis's 58.5 million dollar salary pushes Washington near the luxury tax with little room for outside additions, fueling speculation that Portland is waiting to trade for Davis if extension talks stall."
D08,T10,Anthony Davis,Bullets Forever,2026-06-27,https://www.bulletsforever.com/washington-wizards-team-analysis/71062/aj-dybantsa-trae-young-anthony-davis-washington-wizards-analysis,"Fan-site analysis weighing the difficult front-office decision: extending an aging star on a possible 275 million dollar deal could limit flexibility while the young core develops, and Davis's average of under 49 games a season over five years makes durability a central concern in evaluating the trade."
D09,T01,Trae Young,ESPN,2026-07-10,https://www.espn.com/nba/story/_/id/49327941/trae-young-excited-getting-play-new-look-wizards,"At the press conference for his new four-year, 212 million dollar contract, Young expressed excitement about the rebuilt Wizards and their young core, and the GM framed the January trade as deliberately targeting a proven playmaker who elevates teammates. After three straight 60-loss seasons, the trades for Young and Davis are presented as the turn toward playoff contention."
D10,T01,Trae Young,Bleacher Report,2026-06-30,https://bleacherreport.com/articles/25448555-wizards-trae-young-makes-cryptic-post-amid-anthony-davis-nba-trade-rumors,"Young, who appeared in only 15 games last season because of health issues, was described as eager to finally share the floor with Davis, calling him the most talented teammate of his career and someone who will make his life easier by demanding double-teams. The report frames the two mid-season trades as a joined-up rebuild plan around the number one draft pick."
D11,T27,Deandre Ayton,Heavy Sports,2026-07-08,https://heavy.com/sports/nba/washington-wizards/nba-star-trae-young-reacts-to-wizards-lakers-trade/,"After Washington acquired center Deandre Ayton from the Lakers for Jaden Hardy and two second-round picks, Trae Young posted an enthusiastic public welcome on social media. Coverage framed the deal as the Wizards adding an efficient starting center to the Young-Davis core after a 17-65 season."
D12,T06,James Harden,Yahoo Sports (SB Nation syndication),2026-06-26,https://sports.yahoo.com/articles/cavaliers-reacts-survey-james-harden-100000643.html,"Syndicated fan-survey report confirming the sharp decline in approval for the Harden trade: only about one in ten respondents still grades it an A, roughly fifty percentage points lower than the February share, reflecting disappointment that a championship-or-bust gamble ended short of the conference finals."
