trade_id,trade_date,season_phase,player,from_team,to_team,salary_est_musd,movement_type,salary_verified,official_source_url
T01,2026-01-09,2025-26 season,Trae Young,ATL,WAS,46.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T01,2026-01-09,2025-26 season,CJ McCollum,WAS,ATL,30.7,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T01,2026-01-09,2025-26 season,Corey Kispert,WAS,ATL,13.9,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T02,2026-02-01,2025-26 season,Vit Krejci,ATL,POR,2.2,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T02,2026-02-01,2025-26 season,Duop Reath,POR,ATL,2.2,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T03,2026-02-01,2025-26 season,Emanuel Miller,CHI,CLE,1.9,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T03,2026-02-01,2025-26 season,De'Andre Hunter,CLE,SAC,23.3,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T03,2026-02-01,2025-26 season,Dario Saric,SAC,CHI,5.4,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T03,2026-02-01,2025-26 season,Dennis Schroder,SAC,CLE,14.1,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T03,2026-02-01,2025-26 season,Keon Ellis,SAC,CLE,2.3,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T04,2026-02-03,2025-26 season,Jaren Jackson Jr.,MEM,UTA,35.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T04,2026-02-03,2025-26 season,Jock Landale,MEM,UTA,8.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T04,2026-02-03,2025-26 season,John Konchar,MEM,UTA,6.2,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T04,2026-02-03,2025-26 season,Vince Williams Jr.,MEM,UTA,2.2,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T04,2026-02-03,2025-26 season,Georges Niang,UTA,MEM,8.2,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T04,2026-02-03,2025-26 season,Kyle Anderson,UTA,MEM,9.2,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T04,2026-02-03,2025-26 season,Taylor Hendricks,UTA,MEM,5.8,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T04,2026-02-03,2025-26 season,Walter Clayton Jr.,UTA,MEM,4.5,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
